#Instrument,Date,Time,Record Type,Price,Volume,Undisclosed Volume,Value,Qualifiers,Trans ID,Bid ID,Ask ID,Bid/Ask,Entry Time,Old Price,Old Volume,Buyer Broker ID,Seller Broker ID
JBH,20130510,10:04:23.026,TRADE,17.040,302,,5146.08,AC,0,6267643730648534912,6267248731097210207,,,,,150,154
JBH,20130510,10:04:23.026,TRADE,17.040,336,,5725.44,AC,0,6267643730648566884,6267248731097210207,,,,,157,154
JBH,20130510,10:04:23.026,TRADE,17.040,120,,2044.8,AC,0,6267248731097774041,6267248731097210207,,,,,140,154
JBH,20130510,10:04:23.026,TRADE,17.040,80,,1363.2,AC,0,6267248731097774041,6267643730648570372,,,,,140,203
JBH,20130510,10:04:23.026,TRADE,17.040,814,,13870.56,AC,0,6267643730648570249,6267643730648570372,,,,,110,203
JBH,20130510,10:04:23.026,TRADE,17.040,86,,1465.44,AC,0,6267643730648570249,6267643730648534898,,,,,110,150
JBH,20130510,10:04:23.026,TRADE,17.040,500,,8520,AC,0,6267248731098201751,6267643730648534898,,,,,140,150
JBH,20130510,10:04:23.026,TRADE,17.040,300,,5112,AC,0,6267643730648510825,6267643730648534898,,,,,255,150
JBH,20130510,10:04:23.026,TRADE,17.040,151,,2573.04,AC,0,6267248731097768058,6267643730648534898,,,,,140,150
JBH,20130510,10:04:23.026,TRADE,17.040,49,,834.96,AC,0,6267248731097768058,6267643730648569696,,,,,140,638
JBH,20130510,10:04:23.191,ENTER,17.030,39,0,664.17,,0,,6267643730648570982,A,,,,,150
JBH,20130510,10:04:23.359,ENTER,17.000,105,0,1785,,0,6267643730648571089,,B,,,,366,
JBH,20130510,10:04:23.507,ENTER,17.010,202,0,3436.02,,0,6267643730648571134,,B,,,,203,
JBH,20130510,10:04:23.897,ENTER,17.080,9,0,153.72,,0,,6267643730648571197,A,,,,,299
JBH,20130510,10:04:24.131,DELETE,,,,,,0,6267643730648545290,,B,,,,299,
JBH,20130510,10:04:24.180,ENTER,17.090,62,0,1059.58,,0,,6267643730648571267,A,,,,,299
JBH,20130510,10:04:24.874,ENTER,17.160,404,0,6932.64,SHL ,0,,6267643730648571350,A,,,,,140
JBH,20130510,10:04:24.936,ENTER,16.940,404,0,6843.76,,0,6267643730648571354,,B,,,,140,
JBH,20130510,10:04:25.078,AMEND,17.000,82,,1394,,0,6267643730648571089,,B,10:04:23,17.000,105,366,
JBH,20130510,10:04:25.079,ENTER,17.230,1,0,17.23,OB0 ,0,6267643730648571373,,B,,,,366,
JBH,20130510,10:04:25.079,TRADE,17.030,1,,17.03,Bi,0,6267643730648571373,6267643730648570982,,,,,366,150
JBH,20130510,10:04:25.079,ENTER,17.010,17,0,289.17,,0,6267643730648571374,,B,,,,366,
JBH,20130510,10:04:25.079,ENTER,16.940,6,0,101.64,,0,6267643730648571375,,B,,,,366,
JBH,20130510,10:04:25.374,DELETE,,,,,,0,,6267643730648571197,A,,,,,299
JBH,20130510,10:04:25.399,DELETE,,,,,,0,,6267643730648571267,A,,,,,299
JBH,20130510,10:04:25.414,ENTER,17.050,62,0,1057.1,,0,,6267643730648571452,A,,,,,299
JBH,20130510,10:04:25.416,ENTER,17.070,48,0,819.36,,0,,6267643730648571454,A,,,,,299
JBH,20130510,10:04:26.037,ENTER,17.010,55,0,935.55,,0,6267643730648571593,,B,,,,203,
JBH,20130510,10:04:30.299,ENTER,17.010,7,0,119.07,,0,6267643730648571885,,B,,,,299,
JBH,20130510,10:04:33.368,DELETE,,,,,,0,,6267643730648569280,A,,,,,299
JBH,20130510,10:04:33.770,DELETE,,,,,,0,6267643730648569333,,B,,,,299,
JBH,20130510,10:04:34.378,DELETE,,,,,,0,,6267643730648569451,A,,,,,299
JBH,20130510,10:04:34.445,DELETE,,,,,,0,,6267643730648569470,A,,,,,299
JBH,20130510,10:04:34.446,DELETE,,,,,,0,6267643730648569334,,B,,,,299,
JBH,20130510,10:04:34.576,DELETE,,,,,,0,6267643730648569430,,B,,,,299,
JBH,20130510,10:04:34.595,DELETE,,,,,,0,,6267643730648569432,A,,,,,299
JBH,20130510,10:04:34.624,DELETE,,,,,,0,,6267643730648569471,A,,,,,299
JBH,20130510,10:04:34.627,DELETE,,,,,,0,6267643730648569443,,B,,,,299,
JBH,20130510,10:04:34.665,DELETE,,,,,,0,6267643730648569416,,B,,,,299,
JBH,20130510,10:04:34.677,DELETE,,,,,,0,,6267643730648569220,A,,,,,299
JBH,20130510,10:04:34.682,DELETE,,,,,,0,,6267643730648569459,A,,,,,299
